data_cadastro,nome,cpf,email,telefone,idade,objetivo,horizonte,reacao_queda,experiencia,renda,percentual_patrimonio,reserva_emergencia,perfil,score_perfil
2026-05-06,Ana Lima,61048666741,cliente1@email.com,11744318753,61,1,3,3,2,2,3,1,MODERADO,55.6
2026-05-06,Bruno Souza,07725166308,cliente2@email.com,11486761344,24,2,2,2,1,1,2,2,MODERADO,35.6
2026-05-06,Carla Mendes,83283047141,cliente3@email.com,11642256831,61,2,1,3,3,3,3,1,MODERADO,62.2
2026-05-06,Diego Ferreira,77382265171,cliente4@email.com,11707775462,59,2,3,1,1,3,3,1,MODERADO,40.0
2026-05-06,Elena Costa,13654750655,cliente5@email.com,11540572503,42,2,2,3,2,1,1,1,MODERADO,44.4
2026-05-06,Felipe Rocha,27072823515,cliente6@email.com,11478533372,30,3,1,2,2,3,3,1,MODERADO,53.3
2026-05-06,Gabriela Nunes,46184814644,cliente7@email.com,11132265538,26,2,1,1,1,3,3,2,CONSERVADOR,31.1
2026-05-06,Hugo Alves,64268272674,cliente8@email.com,11620048146,31,2,1,2,3,2,3,1,MODERADO,46.7
2026-05-06,Isabela Moura,70646532515,cliente9@email.com,11055063701,45,3,1,4,2,2,1,1,MODERADO,62.2
2026-05-06,João Pinto,57128854355,cliente10@email.com,11201834470,25,1,1,3,1,3,1,1,CONSERVADOR,31.1
2026-05-06,Karen Vieira,54472824473,cliente11@email.com,11203708412,48,1,2,3,2,2,3,1,MODERADO,48.9
2026-05-06,Lucas Barros,56686205882,cliente12@email.com,11201443274,60,1,1,3,3,1,1,1,MODERADO,35.6
2026-05-06,Marina Gomes,48288114023,cliente13@email.com,11881806782,64,3,1,1,3,2,1,2,MODERADO,40.0
2026-05-06,Nelson Reis,53370663208,cliente14@email.com,11820107816,30,1,2,2,1,1,3,1,CONSERVADOR,26.7
2026-05-06,Olivia Campos,28628443180,cliente15@email.com,11122106812,46,2,2,3,3,1,1,1,MODERADO,51.1
2026-05-06,Paulo Martins,70606713158,cliente16@email.com,11038214452,67,3,3,4,2,2,1,2,ARROJADO,80.0
2026-05-06,Renata Farias,41570616308,cliente17@email.com,11151867345,59,2,1,4,3,2,1,2,MODERADO,64.4
2026-05-06,Samuel Lopes,74234658765,cliente18@email.com,11231383158,63,3,1,3,1,1,3,1,MODERADO,48.9
2026-05-06,Tânia Borges,67780704531,cliente19@email.com,11172281885,29,1,2,3,1,1,1,2,MODERADO,33.3
2026-05-06,Victor Cunha,06011703546,cliente20@email.com,11737284677,62,1,1,3,1,2,1,2,CONSERVADOR,31.1
